Iterator Time:10
No.227   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.228   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.229   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.230   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.231   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.232   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.233   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.234   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.235   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.236   Rule:B(l*0.6,w*0.85,y*0.6)
No.237   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.238   Length:0.983635   Redius:1.96727   LeafAmount:0   
No.239   Length:1.00224   Redius:2.00448   LeafAmount:0   
No.240   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.241   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.242   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.243   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.244   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.245   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.246   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.247   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.248   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.249   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.250   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.251   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.252   Rule:B(l*0.6,w*0.85,y*0.6)
No.253   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.254   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.255   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.256   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.257   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.258   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.259   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.260   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.261   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.262   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.263   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.264   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.265   Rule:B(l*0.6,w*0.85,y*0.6)
No.266   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.267   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.268   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.269   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.270   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.271   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.272   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.273   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.274   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.275   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.276   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.277   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.278   Rule:B(l*0.6,w*0.85,y*0.6)
No.279   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.280   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.281   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.282   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.283   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.284   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.285   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.286   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.287   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.288   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.289   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.290   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.291   Rule:B(l*0.6,w*0.85,y*0.6)
No.292   Length:1.01549   Redius:2.03099   LeafAmount:0   
No.293   Length:0.809179   Redius:1.61836   LeafAmount:2   
No.294   Length:1.04782   Redius:2.09563   LeafAmount:0   
No.295   Length:0.83418   Redius:1.66836   LeafAmount:2   
No.296   Length:1.07602   Redius:2.15205   LeafAmount:0   
No.297   Length:0.87018   Redius:1.74036   LeafAmount:2   
No.298   Length:1.10552   Redius:2.21105   LeafAmount:0   
No.299   Length:0.9331   Redius:1.8662   LeafAmount:2   
No.300   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.301   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.302   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.303   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.304   Rule:B(l*0.6,w*0.85,y*0.6)
